,boy_shape_identification,thich_hinh_dang_con_trai,girl_shape_identification,thich_hinh_dang_con_gai,nhan_dinh_hinh_dang,Nhanthuc_hinhdang_conTrai,Thich_hinhdang_conGai,Nhanthuc_hinhdang_conGai,So_lan_an_dam,So_lan_an_Sua,Thich_hinhdang_conTrai,BMI
boy_shape_identification,1.0,0.40565303750069626,0.2272700927604512,0.4352950965315561,0.8798514588330139,1.0,0.2272700927604512,0.4352950965315561,-0.012033148411764722,-0.019333975153701694,0.40565303750069626,0.7208083697303895
thich_hinh_dang_con_trai,0.40565303750069626,1.0,0.6528203575243874,0.11215266668282185,0.48044478096698306,0.40565303750069626,0.6528203575243874,0.11215266668282185,0.10447798457994609,0.15490509288369436,1.0,0.1443242172663608
girl_shape_identification,0.2272700927604512,0.6528203575243874,1.0,0.08078826919154698,0.30808265255595957,0.2272700927604512,1.0,0.08078826919154698,0.09447688617597776,0.1427412631933045,0.6528203575243874,0.025661904401442018
thich_hinh_dang_con_gai,0.4352950965315561,0.11215266668282185,0.08078826919154698,1.0,0.318148476721393,0.4352950965315561,0.08078826919154698,1.0,-0.08950991475357886,-0.09734379974502261,0.11215266668282185,0.5279629018018032
nhan_dinh_hinh_dang,0.8798514588330139,0.48044478096698306,0.30808265255595957,0.318148476721393,1.0,0.8798514588330139,0.30808265255595957,0.318148476721393,-0.003318894952938305,-0.0019178919435981522,0.48044478096698306,0.5618487655556942
Nhanthuc_hinhdang_conTrai,1.0,0.40565303750069626,0.2272700927604512,0.4352950965315561,0.8798514588330139,1.0,0.2272700927604512,0.4352950965315561,-0.012033148411764722,-0.019333975153701694,0.40565303750069626,0.7208083697303895
Thich_hinhdang_conGai,0.2272700927604512,0.6528203575243874,1.0,0.08078826919154698,0.30808265255595957,0.2272700927604512,1.0,0.08078826919154698,0.09447688617597776,0.1427412631933045,0.6528203575243874,0.025661904401442018
Nhanthuc_hinhdang_conGai,0.4352950965315561,0.11215266668282185,0.08078826919154698,1.0,0.318148476721393,0.4352950965315561,0.08078826919154698,1.0,-0.08950991475357886,-0.09734379974502261,0.11215266668282185,0.5279629018018032
So_lan_an_dam,-0.012033148411764722,0.10447798457994609,0.09447688617597776,-0.08950991475357886,-0.003318894952938305,-0.012033148411764722,0.09447688617597776,-0.08950991475357886,1.0,0.7076600683278202,0.10447798457994609,0.002909540949910813
So_lan_an_Sua,-0.019333975153701694,0.15490509288369436,0.1427412631933045,-0.09734379974502261,-0.0019178919435981522,-0.019333975153701694,0.1427412631933045,-0.09734379974502261,0.7076600683278202,1.0,0.15490509288369436,0.006182758748936421
Thich_hinhdang_conTrai,0.40565303750069626,1.0,0.6528203575243874,0.11215266668282185,0.48044478096698306,0.40565303750069626,0.6528203575243874,0.11215266668282185,0.10447798457994609,0.15490509288369436,1.0,0.1443242172663608
BMI,0.7208083697303895,0.1443242172663608,0.025661904401442018,0.5279629018018032,0.5618487655556942,0.7208083697303895,0.025661904401442018,0.5279629018018032,0.002909540949910813,0.006182758748936421,0.1443242172663608,1.0
